sku,collection,title_en,title_ar,etsy_title,tags_13,description,price_digital,price_poster,price_mug,price_tee
HRF-001,Islamic,Bismillah Gold Navy,بسم الله الرحمن الرحيم,"Bismillah Gold Navy Printable Wall Art, Arabic Islamic Digital Download, بسم الله الرحمن الرحيم, Bilingual Arabic English Print","bismillah print, islamic wall art, thuluth, quran wall art, arabic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor, arabic art print","Bismillah Gold Navy — بسم الله الرحمن الرحيم. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",10,25,16,22
HRF-002,Geometric,Eight-Point Star,نجمة ثمانية الرؤوس,"Eight-Point Star Printable Wall Art, Arabic Geometric Digital Download, نجمة ثمانية الرؤوس, Bilingual Arabic English Print","islamic geometric, moroccan wall art, sacred geometry, arabesque print, arabic wall art, islamic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor","Eight-Point Star — نجمة ثمانية الرؤوس. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
HRF-003,Quote,Patience Is Beautiful — Sabr,الصبر جميل,"Patience Is Beautiful — Sabr Printable Wall Art, Arabic Quote Digital Download, الصبر جميل, Bilingual Arabic English Print","sabr print, arabic quote, patience quote, islamic quote art, arabic wall art, islamic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor","Patience Is Beautiful — Sabr — الصبر جميل. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
HRF-004,Seasonal,Ramadan Kareem Lantern,رمضان كريم,"Ramadan Kareem Lantern Printable Wall Art, Arabic Seasonal Digital Download, رمضان كريم, Bilingual Arabic English Print","ramadan decor, ramadan kareem, eid mubarak gift, fanous lantern, arabic wall art, islamic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor","Ramadan Kareem Lantern — رمضان كريم. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",9,25,16,22
HRF-005,Home,Al-Andalus Arabesque,أرابيسك الأندلس,"Al-Andalus Arabesque Printable Wall Art, Arabic Home Digital Download, أرابيسك الأندلس, Bilingual Arabic English Print","alhambra art, arabesque panel, moorish decor, luxury wall art, arabic wall art, islamic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor","Al-Andalus Arabesque — أرابيسك الأندلس. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",12,28,16,22
HRF-006,Nature,Desert Dunes at Dusk,كثبان الصحراء,"Desert Dunes at Dusk Printable Wall Art, Arabic Nature Digital Download, كثبان الصحراء, Bilingual Arabic English Print","desert wall art, sahara print, arabian landscape, sunset print, arabic wall art, islamic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor","Desert Dunes at Dusk — كثبان الصحراء. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
HRF-007,Islamic,Ya Allah — Thuluth,يا الله,"Ya Allah — Thuluth Printable Wall Art, Arabic Islamic Digital Download, يا الله, Bilingual Arabic English Print","ya allah print, allah wall art, thuluth calligraphy, prayer room decor, arabic wall art, islamic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor","Ya Allah — Thuluth — يا الله. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",10,25,16,22
HRF-008,Quote,This Too Shall Pass,هذا أيضاً سيمضي,"This Too Shall Pass Printable Wall Art, Arabic Quote Digital Download, هذا أيضاً سيمضي, Bilingual Arabic English Print","this too shall pass, arabic quote print, ruqaa calligraphy, minimalist quote, arabic wall art, islamic wall art, printable art, digital download, arabic calligraphy, muslim gift, bilingual print, eid gift idea, islamic decor","This Too Shall Pass — هذا أيضاً سيمضي. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-FAM-001,Family Gift,My First Love,أُمِّي حُبِّي الأَوَّل,"My First Love Printable Wall Art, Arabic Family Gift Digital Download, أُمِّي حُبِّي الأَوَّل, Bilingual Arabic English Print","my first love arabic, arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents, islamic wall art, muslim gift","My First Love — أُمِّي حُبِّي الأَوَّل. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-FAM-002,Family Gift,"Dad, My Hero",بَابَا بَطَلِي,"Dad, My Hero Printable Wall Art, Arabic Family Gift Digital Download, بَابَا بَطَلِي, Bilingual Arabic English Print","dad, my hero arabic, arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents, islamic wall art, muslim gift","Dad, My Hero — بَابَا بَطَلِي. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

© Huroof حروف — all rights reserved. This is an original artwork. Your purchase is a personal-use licence: print it for your own home or to give as a gift. Resale, redistribution, file-sharing, or any commercial use of the design is not permitted.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
